tempo,total_avioes,pistas,util_pista_pouso,util_pista_decolagem,postos,util_postos,fingers,util_fingers
50,52,1,35.76,13.80,1,3.63,1,7.03
50,40,1,29.32,20.28,1,3.88,1,4.75
50,10,1,28.73,19.59,1,3.01,1,6.32
50,6,1,29.22,17.98,1,2.42,1,4.68
50,55,3,76.24,69.25,1,6.38,1,15.55
50,27,3,66.73,69.66,1,7.20,1,17.45
50,12,3,64.76,66.68,1,7.46,1,18.83
50,4,3,55.05,62.64,1,4.78,1,11.41
50,57,5,139.31,102.25,1,11.43,1,22.94
50,26,5,112.92,101.31,1,10.02,1,27.24
50,11,5,102.09,99.32,1,9.20,1,21.55
50,4,5,63.22,61.56,1,5.63,1,12.47
50,52,1,35.76,13.80,3,3.63,1,7.03
50,43,1,28.95,19.73,3,4.46,1,5.43
50,10,1,28.73,19.59,3,3.01,1,6.32
50,6,1,29.22,17.98,3,2.42,1,4.68
50,57,3,84.70,57.39,3,9.20,1,19.33
50,27,3,77.93,60.80,3,8.05,1,19.55
50,11,3,76.31,51.40,3,7.13,1,14.53
50,4,3,55.05,62.64,3,4.78,1,11.41
50,62,5,129.84,112.32,3,10.16,1,26.16
50,33,5,107.80,106.85,3,12.45,1,28.12
50,14,5,101.71,98.92,3,10.19,1,28.43
50,4,5,63.22,61.56,3,5.63,1,12.47
50,52,1,35.76,13.80,5,3.63,1,7.03
50,43,1,28.95,19.73,5,4.46,1,5.43
50,10,1,28.73,19.59,5,3.01,1,6.32
50,6,1,29.22,17.98,5,2.42,1,4.68
50,57,3,84.70,57.39,5,9.20,1,19.33
50,27,3,77.93,60.80,5,8.05,1,19.55
50,11,3,76.31,51.40,5,7.13,1,14.53
50,4,3,55.05,62.64,5,4.78,1,11.41
50,62,5,129.84,112.32,5,10.16,1,26.16
50,33,5,107.80,106.85,5,12.45,1,28.12
50,14,5,101.71,98.92,5,10.19,1,28.43
50,4,5,63.22,61.56,5,5.63,1,12.47
50,52,1,33.46,15.05,1,4.76,3,8.00
50,32,1,29.19,20.41,1,4.10,3,6.52
50,12,1,26.01,22.30,1,3.52,3,6.39
50,5,1,25.90,20.91,1,3.18,3,4.34
50,51,3,72.41,74.60,1,5.40,3,15.24
50,25,3,78.17,61.09,1,4.98,3,16.10
50,11,3,68.04,59.98,1,4.87,3,13.60
50,7,3,63.86,60.25,1,6.39,3,15.72
50,48,5,139.62,98.14,1,12.32,3,24.82
50,26,5,128.40,91.63,1,12.07,3,27.64
50,20,5,105.08,99.14,1,11.74,3,21.11
50,9,5,76.11,82.66,1,6.90,3,19.31
50,45,1,36.52,12.43,3,5.71,3,8.45
50,32,1,29.19,20.41,3,4.10,3,6.52
50,12,1,28.93,18.10,3,3.36,3,6.27
50,5,1,25.90,20.91,3,3.18,3,4.34
50,55,3,72.87,73.65,3,5.38,3,15.27
50,24,3,75.81,62.07,3,5.37,3,15.90
50,11,3,68.04,59.98,3,4.87,3,13.60
50,6,3,65.96,56.52,3,5.61,3,13.96
50,58,5,142.73,96.66,3,12.73,3,26.74
50,29,5,108.81,111.13,3,12.84,3,23.68
50,18,5,100.96,101.53,3,9.97,3,21.59
50,9,5,80.53,77.65,3,6.80,3,19.99
50,45,1,36.52,12.43,5,5.71,3,8.45
50,32,1,29.19,20.41,5,4.10,3,6.52
50,12,1,28.93,18.10,5,3.36,3,6.27
50,5,1,25.90,20.91,5,3.18,3,4.34
50,55,3,72.87,73.65,5,5.38,3,15.27
50,24,3,75.81,62.07,5,5.37,3,15.90
50,11,3,68.04,59.98,5,4.87,3,13.60
50,6,3,65.96,56.52,5,5.61,3,13.96
50,58,5,142.73,96.66,5,12.73,3,26.74
50,29,5,108.81,111.13,5,12.84,3,23.68
50,18,5,100.96,101.53,5,9.97,3,21.59
50,9,5,80.53,77.65,5,6.80,3,19.99
50,52,1,33.46,15.05,1,4.76,5,8.00
50,32,1,29.19,20.41,1,4.10,5,6.52
50,12,1,26.01,22.30,1,3.52,5,6.39
50,5,1,25.90,20.91,1,3.18,5,4.34
50,51,3,72.41,74.60,1,5.40,5,15.24
50,21,3,74.50,66.12,1,5.41,5,17.46
50,11,3,68.04,59.98,1,4.87,5,13.60
50,7,3,63.86,60.25,1,6.39,5,15.72
50,46,5,140.39,98.61,1,10.98,5,28.98
50,27,5,127.04,93.75,1,12.32,5,27.57
50,12,5,96.27,104.63,1,14.54,5,22.82
50,7,5,77.06,74.29,1,7.54,5,18.98
50,45,1,36.52,12.43,3,5.71,5,8.45
50,32,1,29.19,20.41,3,4.10,5,6.52
50,12,1,28.93,18.10,3,3.36,5,6.27
50,5,1,25.90,20.91,3,3.18,5,4.34
50,55,3,72.87,73.65,3,5.38,5,15.27
50,23,3,76.16,62.28,3,4.49,5,16.29
50,11,3,68.04,59.98,3,4.87,5,13.60
50,6,3,65.96,56.52,3,5.61,5,13.96
50,48,5,147.44,92.32,3,12.20,5,26.76
50,35,5,106.11,111.60,3,11.03,5,27.57
50,18,5,106.00,100.78,3,10.08,5,21.73
50,9,5,80.53,77.65,3,6.80,5,19.99
50,45,1,36.52,12.43,5,5.71,5,8.45
50,32,1,29.19,20.41,5,4.10,5,6.52
50,12,1,28.93,18.10,5,3.36,5,6.27
50,5,1,25.90,20.91,5,3.18,5,4.34
50,55,3,72.87,73.65,5,5.38,5,15.27
50,23,3,76.16,62.28,5,4.49,5,16.29
50,11,3,68.04,59.98,5,4.87,5,13.60
50,6,3,65.96,56.52,5,5.61,5,13.96
50,48,5,147.44,92.32,5,12.20,5,26.76
50,35,5,106.11,111.60,5,11.03,5,27.57
50,18,5,106.00,100.78,5,10.08,5,21.73
50,9,5,80.53,77.65,5,6.80,5,19.99
